"usuario","id","texto","classificacao","categoria"
TheInterceptBr,1159090877488357376,"A @camaradeputados começa a debater projeto quer demolir regras do licenciamento ambiental que, se cumprido, poderi… https://t.co/LFT4PHRtj0",0,politica
g1,1159177392155328512,Moradora de Londrina decidiu rifar o próprio carro para poder tratar dois tumores no cérebro https://t.co/GS3nMZnVGw #G1,0,cotidiano 
g1,1159166062761349120,"De acordo com as autoridades, a vítima foi enganada ao tentar comprar carros em um aplicativo de vendas https://t.co/vLDeBQpJBf #G1",0,policial
TerraNoticiasBR,1159094341081714688,Tabata e infiéis da oposição mantêm voto favorável a reforma. Aprovação do texto-base no 2º turno contou com 18 vot… https://t.co/GWNMPQU5cF,0,politica
g1saopaulo,1159133136841773061,Federação de hospitais faz alerta para que funcionários da saúde se vacinem contra sarampo em SP https://t.co/isxrM4brvn,0,ciencia
republica_ctba,1159133342996062210,Lula vai pro mesmo presidio do médico monstro Roger Abdelmassih e Alexandre Nardoni https://t.co/2tZ12AwBWD,1,politica
oswaldojor,1158614305958432768,"Marido de Glenn, o deputado David Miranda, era garoto de programa e vendia drogas, diz jornalista https://t.co/lhI1kEqkF4",1,politica
g1,1159075465748836352,"Hamburgueria oferece lanche de papelão para veganos e causa polêmica: ""Morte do boi é nossa alegria""… https://t.co/w2A0FuVraD",0,cotidiano
criticanac,1159453801910284288,"Levantamento digital mostra popularidade crescente do Presidente Bolsonaro, que exibe hoje 61% de avaliação positiv… https://t.co/3xrSCuQU70",1,politica
sensacionalista,1157268610152304640,Bolsonaro nomeia pau de arara para Comissão da Verdade https://t.co/VEpxF45fUs,1,politica
sensacionalista,1156243691247493120,Novo atentado: Doria dá facada nas costas de Bolsonaro https://t.co/soZoSbg8Yk,1,politica
oswaldojor,1159362860948054016,Gilmar Mendes rasga a Constituição e dá carta branca para Greenwald cometer crimes no Brasil https://t.co/6fl0Nok62h,1,politica
FolhaImpacto,1159889607061905411,"Vídeo - Atletas brasileiros ganham ouro e esticam faixa ‘FORA BOZO’ no pódio em Lima https://t.co/GS27yPhF2k",1,esportes
g1ribeiraopreto,1161247160337408000,Saúde confirma 2º caso de sarampo e inicia vacinação 'dose zero' em Ribeirão Preto https://t.co/Ej227zcPXq,0,ciencia
TerraNoticiasBR,1161298866873831425,Bangladesh sofre sua pior epidemia de dengue com 40 mortos &gt; https://t.co/3XkmtpkPxi https://t.co/Hddf2IXrRh,0,ciencia
UOLNoticias,1161315705456922624,MPF move ação contra discriminação a casados em concurso público da Marinha https://t.co/h32egYx34k,0,cotidiano
UOLNoticias,1161314303221403649,Protestos pelo Brasil contra cortes na educação criticam programa Future-se https://t.co/RXveQW3u6N,0,educacao
JornalOGlobo,1161314105010999296,Parentes de jogador de futebol morto durante operação em Niterói negam confrontos na hora do crime… https://t.co/sNKTPeibab,0,esportes
sensacionalista,1160909599664496641,Governo quer incluir tempo gasto passando pano para Bolsonaro em cálculo da aposentadoria https://t.co/Q1HjwejJNW,1,politica
sensacionalista,1156215523216121856,"Ligação direta entre intestino e boca é causa de últimas declarações de Bolsonaro, diz médico https://t.co/W4pCkLV6L4",1,politica
g1,1161332840648323072,"Diretora da escola nega acusação e alega que aluna foi entregue à irmã, menor de idade https://t.co/qt6xz42EuH #G1",0,cotidiano
sensacionalista,1154875225974161409,Besta do Apocalipse diz que não quer ter seu número associado à portaria 666 de Moro https://t.co/Rv7wCuRTqv,0,politica
oswaldojor,1160675879246323713,URGENTE - Censura: Jornalista que denunciou tentativa de venda das mensagens da Vaza Jato para o PT é demitido https://t.co/S80lMqh5El,1,politica
SITEFCS,990997387782033408,ARQUIVO VIVO - Cuba passou a perna e revendeu porto feito com dinheiro do povo brasileiro para EUA e Rússia https://t.co/ux3OPI0giJ,1,politica
globoesportecom,1162109493184012289,Pato e Toró viram dúvidas no São Paulo para jogo contra o Ceará; veja provável escalação https://t.co/XlS742cJ9X https://t.co/tA1aD2j766,0,esportes
globoesportecom,1162095668338548736,Pela primeira vez em dez anos Messi não é relacionado para uma estreia do Barcelona no Espanhol… https://t.co/e7yIVMOwQo,0,esportes
globoesportecom,1162082830148677632,Felipão trabalha com Willian em campo na Academia; veja possível escalação do Palmeiras contra o Grêmio:… https://t.co/HVwliH4Oa9,0,esportes
globoesportecom,1162070198716780545,Fim das negociações do Flamengo com Balotelli também mela acerto do irmão Enock com o Boavista… https://t.co/jWnWL22vYE,0,esportes
criticanac,1162427087917133824,"A lei de abuso de autoridade está servindo de arma política contra o Presidente Bolsonaro.https://t.co/uWwMBU2MFP",1,politica
g1ribeiraopreto,1162453602138542081,"Padrasto é condenado a 8 meses de prisão por agredir criança com chute no peito em Sertãozinho, SP https://t.co/4HAD76AXpj",0,cotidiano
g1ribeiraopreto,1162439007311224833,"Chefe do Deinter em Ribeirão cita deficit de 50% no efetivo, polícia envelhecida e falta de reposição https://t.co/G4VdNyY2nW",0,policial
g1ribeiraopreto,1161758518388699142,Incêndio em bambuzal se aproxima de bairro e assusta moradores em Ribeirão Preto https://t.co/CXmaMPxAgv,0,cotidiano
g1ribeiraopreto,1161747452103471104,Franca e Sertãozinho estão em lista do Ministério da Saúde por surto ativo de sarampo https://t.co/CLxZqZejMX,0,cotidiano
agorasp,1162497023427391489,Polícia apreende carro com tomada doméstica para acender farol https://t.co/YGVSUf59h1,0,cotidiano
agorasp,1162456002295472129,Mulher é multada em R$ 150 mil por manter 50 gatos em condições de maus-tratos https://t.co/Tg8WxAXo4Q,0,cotidiano
agorasp,1162467836490670081,Motorista de aplicativo é preso acusado de estuprar passageira em SP https://t.co/iuTuYp2V2v,0,policial
opovoonline,1162529535461642240,Hoje seu caule é usado para a fabricação de lambedores para tratamento de tosses e resfriados. https://t.co/rcFvbmJNc6,0,ciencia
opovoonline,1162521947248500736,Coreia do Norte dispara mais mísseis e rejeita diálogo com Seul: https://t.co/EJAE6mXw8a https://t.co/gm4t3SM2qY,0,internacional
criticanac,1163812125434732544,"Sequestro no Rio de Janeiro termina com ação bem-sucedida de sniper, reféns libertados, e cobertura asquerosa e des… https://t.co/rbBAXBBha6",1,policial
criticanac,1163929873758543872,Brasil deixou de ser de fato o refúgio de criminosos e terroristas internacionais em que havia sido transformado du… https://t.co/rRYWsgN1ak,1,politica
g1ribeiraopreto,1163935353675407360,Ministro do Meio Ambiente nega omissão em relação à Amazônia e culpa tempo seco por aumento de queimadas https://t.co/aQFYrRop3o,0,politica
sensacionalista,1165054422671659010,"Imagens da NASA mostram que panelaço se espalhou por todo o Brasil https://t.co/seiCJFlAci",1,ciencia
palmasaqui,1165364332722622464,Atenção! A Globo quer derrubar Bolsonaro e o jogo vai ser pesado (Veja o Vídeo) https://t.co/LwUaB7PmFj,1,politica
